left_model,right_model,effect_difference,low,high,clusters,replicates
granite,tiny,0.35833333333333334,0.23333333333333334,0.48333333333333334,120,10000
upper,tiny,0.4166666666666667,0.2916666666666667,0.5416666666666666,120,10000
peer,tiny,0.23333333333333334,0.11666666666666667,0.3416666666666667,120,10000
granite,peer,0.125,0.058333333333333334,0.2,120,10000
