trace_set,rows,unique_units,duplicate_unit_ids,query_ids,routes,conditions,seeds,successes,success_rate,parse_rate,answer_ok_rate,support_ok_rate,energy_coverage,mean_gpu_joules,execution_failures,non_finite_values,divergent_route_hashes
clean,2040,2040,0,120,17,clean-test,4622,229,0.11225490196078432,0.5838235294117647,0.19411764705882353,0.1803921568627451,1.0,165.014816958797,0,0,0
robustness,1440,1440,0,120,3,conflict_injection;deletion_duplicates;missing;stale,4622,60,0.041666666666666664,0.4979166666666667,0.13472222222222222,0.06736111111111111,1.0,166.24386567142415,0,0,0
