model_key,direct_route_id,grounded_route_id,always_direct_success,always_grounded_success,task_aware_success,pair_oracle_success,success_gain_vs_grounded,success_gain_low,success_gain_high,energy_change_vs_grounded,energy_change_low,energy_change_high
tiny,A00_tiny_direct,M16_tiny_grounded_verified,0.125,0.0,0.125,0.125,0.125,0.06666666666666667,0.18333333333333332,-34.9682634097794,-46.12278711624207,-24.224166392764506
small,A04_small_direct,A13_small_hybrid_verified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3576818059315592,-2.785334488039682,-0.21217881643968445
granite,M17_granite_direct,M18_granite_grounded_verified,0.20833333333333334,0.44166666666666665,0.65,0.65,0.20833333333333334,0.13333333333333333,0.2833333333333333,-14.711618394435833,-23.066698967454556,-7.1701474386795345
peer,M19_peer_direct,M20_peer_grounded_verified,0.23333333333333334,0.3416666666666667,0.5583333333333333,0.5583333333333333,0.21666666666666667,0.14166666666666666,0.2916666666666667,-13.050397783747359,-18.430216491280493,-8.191840655949585
upper,M21_upper_direct,A14_upper_hybrid_verified,0.13333333333333333,0.425,0.5583333333333333,0.5583333333333333,0.13333333333333333,0.075,0.2,-30.317346617415534,-44.14265999700764,-18.17855399611639
