model_key,same_board,mean_delta_input_tokens,mean_delta_output_tokens,mean_delta_generation_seconds,mean_delta_gpu_joules,correlation_energy_time,correlation_energy_output_tokens
tiny,True,631.6,37.5,1.6686367655333565,146.72128101135297,0.9405836733459324,0.9419606654802946
small,False,499.7416666666667,0.0,-0.2620790458083448,3.875052261284738,-0.1463605969992716,
granite,True,499.7416666666667,28.133333333333333,1.7735241672916535,119.53485875495872,0.9993055584178108,0.9978503733393126
peer,True,499.45,8.416666666666666,0.6302573599083569,41.51546623718623,0.9958694568516546,0.9911167612064057
upper,True,631.6,33.03333333333333,2.5922602055833597,171.71293787617023,0.9997391794472046,0.9992963399274729
