task_type,route_id,queries,success_rate,abstention_rate,mean_gpu_joules,energy_coverage,execution_failure_rate
knowledge_only,A10_tiny_memory_graph,15,0.0,0.0,169.19020877539648,1.0,0.0
knowledge_only,A12_small_hybrid_both,15,0.0,0.0,256.4987512547478,1.0,0.0
knowledge_only,A13_small_hybrid_verified,15,0.0,1.0,260.54881917900815,1.0,0.0
knowledge_only,A14_upper_hybrid_verified,15,0.9333333333333333,0.06666666666666667,230.42579735061386,1.0,0.0
knowledge_only,M16_tiny_grounded_verified,15,0.0,1.0,213.73150844530912,1.0,0.0
knowledge_only,M17_granite_direct,15,0.0,1.0,28.630518113784444,1.0,0.0
knowledge_only,M18_granite_grounded_verified,15,0.9333333333333333,0.06666666666666667,164.08754066796646,1.0,0.0
knowledge_only,M19_peer_direct,15,0.0,0.8666666666666667,78.86835597072236,1.0,0.0
knowledge_only,M20_peer_grounded_verified,15,0.2,0.7333333333333333,145.89833154579898,1.0,0.0
knowledge_only,M21_upper_direct,15,0.0,1.0,82.02277302102699,1.0,0.0
memory_only,A00_tiny_direct,15,0.0,0.8666666666666667,56.42004409086118,1.0,0.0
memory_only,A01_tiny_bm25,15,0.0,0.6666666666666666,118.8987295240299,1.0,0.0
memory_only,A02_tiny_dense,15,0.0,0.8666666666666667,95.39648360498137,1.0,0.0
memory_only,A03_tiny_hybrid,15,0.0,1.0,88.85687402084582,1.0,0.0
memory_only,A04_small_direct,15,0.0,0.0,256.183157455725,1.0,0.0
memory_only,A08_tiny_memory_flat,15,0.0,0.0,143.93484116884255,1.0,0.0
memory_only,A09_tiny_memory_hier,15,0.0,0.0,167.718078586009,1.0,0.0
memory_only,A10_tiny_memory_graph,15,0.0,0.0,169.5178117842064,1.0,0.0
memory_only,A12_small_hybrid_both,15,0.0,0.0,258.34770143700115,1.0,0.0
memory_only,A13_small_hybrid_verified,15,0.0,1.0,260.37624659971914,1.0,0.0
memory_only,A14_upper_hybrid_verified,15,0.6666666666666666,0.2,231.02794765851576,1.0,0.0
memory_only,M16_tiny_grounded_verified,15,0.0,0.8666666666666667,195.93592164245567,1.0,0.0
memory_only,M17_granite_direct,15,0.0,1.0,28.487366063797708,1.0,0.0
memory_only,M18_granite_grounded_verified,15,1.0,0.0,160.45617011942286,1.0,0.0
memory_only,M19_peer_direct,15,0.0,1.0,115.77123579872855,1.0,0.0
memory_only,M20_peer_grounded_verified,15,1.0,0.0,131.9971544734564,1.0,0.0
memory_only,M21_upper_direct,15,0.0,1.0,81.25822543633966,1.0,0.0
multi_hop,A00_tiny_direct,15,0.0,0.0,57.483896064977635,1.0,0.0
multi_hop,A01_tiny_bm25,15,0.0,0.06666666666666667,158.03742996131916,1.0,0.0
multi_hop,A02_tiny_dense,15,0.0,0.0,164.76450648778007,1.0,0.0
multi_hop,A03_tiny_hybrid,15,0.0,0.13333333333333333,141.51253422318987,1.0,0.0
